ticker,company,industry,country,exchange,pe_ratio_5,pe_ratio_4,pe_ratio_3,pe_ratio_2,pe_ratio_1,roic_5,roic_4,roic_3,roic_2,roic_1,fcf_share_5,fcf_share_4,fcf_share_3,fcf_share_2,fcf_share_1,operating_margin_5,operating_margin_4,operating_margin_3,operating_margin_2,operating_margin_1,de_ratio_5,de_ratio_4,de_ratio_3,de_ratio_2,de_ratio_1,shares_outstanding_5,shares_outstanding_4,shares_outstanding_3,shares_outstanding_2,shares_outstanding_1,total_revenue_5,total_revenue_4,total_revenue_3,total_revenue_2,total_revenue_1,eps_5,eps_4,eps_3,eps_2,eps_1,pe_ratio_score,fcf_share_cagr,eps_cagr,fcf_share_rgw,fcf_share_trend,fcf_yield,fcf_share_score,total_revenue_cagr,total_revenue_trend,total_revenue_score,operating_margin_strength,operating_margin_trend,operating_margin_score,roic_strength,roic_trend,roic_score,de_ratio_score,buyback_yield,buyback_trend,buyback_score,ranking_score,has_incomplete_data
MS,Morgan Stanley,Capital Markets,USA,NYSE,12.22,13.82,17.99,15.82,17.39,0.0469,0.033,0.0268,0.0369,0.0414,12.86,10.73,2.05,12.24,24.82,0.3267,0.2618,0.2149,0.2813,0.3082,3.06,3.29,3.63,3.64,4.22,1.77,1.68,1.63,1.61,1.58,61.41,65.99,92.22,107.4,119.72,8.22,6.36,5.18,7.95,10.21,-0.0992,0.1787,0.0557,1.2,0.25,1.3979,0.4194,0.1816,0.25,0.2054,1.0,0.25,0.25,0.1656,0.25,0.0414,0.1916,0.9317,0.25,0.2329,0.1741,False
LIN,Linde Plc,Specialty Chemicals,United Kingdom,NASDAQ,47.25,39.64,32.62,30.74,29.19,0.0657,0.0761,0.1162,0.1215,0.1211,12.72,11.29,11.21,10.22,10.78,0.1716,0.1936,0.2467,0.2604,0.2723,0.35,0.47,0.51,0.59,0.73,508.68,492.46,482.45,473.24,463.68,30.79,33.36,32.85,33.01,33.99,10.69,12.29,14.2,15.51,16.45,0.1052,-0.0405,0.1138,0.0,0.25,0.2245,0.0,0.025,0.25,0.0357,1.0,0.25,0.25,0.4844,0.25,0.1211,0.578,1.0,0.25,0.25,0.1665,False
PG,Procter & Gamble Co,Household & Personal Products,USA,NYSE,24.53,24.77,25.72,27.4,24.48,0.2032,0.2104,0.2067,0.2011,0.2075,5.99,5.34,5.55,6.68,5.72,0.2443,0.2234,0.2238,0.2403,0.2457,0.71,0.69,0.76,0.66,0.68,2.43,2.39,2.36,2.36,2.34,76.12,80.19,82.01,84.04,84.28,5.66,5.81,5.9,6.59,6.83,0.0117,-0.0115,0.0481,0.0,0.25,0.3421,0.0,0.0258,0.25,0.0402,0.9828,0.25,0.2457,0.83,0.25,0.2075,0.5952,0.4237,0.25,0.1059,0.166,False
AMD,Advanced Micro Devices Inc,Semiconductors,USA,NASDAQ,56.8,77.09,280.51,124.89,81.13,0.4449,0.0403,0.0148,0.0278,0.0679,2.62,1.98,0.69,1.47,4.12,0.2238,0.0684,0.0276,0.0863,0.1081,0.1,0.05,0.06,0.04,0.06,1.21,1.61,1.62,1.62,1.63,16.43,23.6,22.68,25.79,34.64,2.79,3.5,2.65,3.31,4.17,0.0,0.1198,0.1057,1.1337,0.25,0.1218,0.0345,0.205,0.25,0.2188,0.4324,0.25,0.1081,0.2716,0.25,0.0679,0.9434,0.0,0.0,0.0,0.1655,False
MU,Micron Technology Inc,Semiconductors,USA,NASDAQ,,14.4,7.4,137.33,16.07,0.1209,0.1603,0.1014,0.0134,0.1339,2.14,2.78,5.6,0.11,1.48,0.2469,0.3176,0.3339,0.0488,0.2678,0.17,0.15,0.32,0.31,0.28,1.12,1.12,1.1,1.11,1.12,27.7,30.76,15.54,25.11,37.38,6.06,8.35,4.45,1.3,8.29,-0.0548,-0.0881,0.0815,0.0,0.25,0.1111,0.0,0.0778,0.25,0.1161,1.0,0.25,0.25,0.5356,0.25,0.1339,0.7812,0.0,0.25,0.0,0.161,True
BAC,Bank Of America Corp,Banks - Diversified,USA,NYSE,12.46,10.4,10.94,13.76,14.43,0.0597,0.0506,0.0475,0.0465,0.0532,1.85,9.08,1.13,3.97,4.41,0.3751,0.3527,0.2839,0.318,0.3292,1.88,1.86,2.15,2.27,2.37,8.08,8.0,7.9,7.61,7.21,95.76,117.85,175.0,195.87,194.26,3.57,3.19,3.08,3.21,3.81,-0.1581,0.2426,0.0164,1.2,0.25,0.8021,0.2406,0.1934,0.25,0.2143,1.0,0.25,0.25,0.2128,0.25,0.0532,0.2967,1.0,0.25,0.25,0.1579,False
AAPL,Apple Inc,Consumer Electronics,USA,NASDAQ,26.17,24.61,27.91,37.44,34.22,0.5336,0.5822,0.5895,0.5819,0.7063,5.51,6.83,6.3,7.06,6.58,0.2978,0.3029,0.2982,0.3151,0.3197,2.16,2.61,1.99,2.09,1.52,16.43,15.94,15.55,15.12,14.77,365.82,394.33,383.29,391.04,416.16,5.61,6.11,6.13,6.75,7.46,-0.2261,0.0454,0.0739,0.6143,0.25,0.2578,0.0396,0.0328,0.25,0.0491,1.0,0.25,0.25,1.0,0.25,0.25,0.3968,1.0,0.25,0.25,0.1554,False
TMUS,T-Mobile US Inc,Telecom Services,USA,NASDAQ,48.12,67.86,23.14,22.84,20.89,0.0183,0.0153,0.0488,0.0674,0.0649,1.27,2.24,7.3,11.47,13.64,0.125,0.167,0.1923,0.2209,0.2123,1.57,1.6,1.75,1.85,2.07,1.25,1.23,1.2,1.14,1.11,80.12,79.57,78.56,81.4,88.31,2.41,2.06,6.93,9.66,9.72,0.0972,0.8103,0.4171,1.2,0.25,0.6718,0.2015,0.0246,0.25,0.0312,0.8492,0.25,0.2123,0.2596,0.25,0.0649,0.3257,1.0,0.25,0.25,0.1503,False
KO,Coca-Cola Co,Beverages - Non-Alcoholic,USA,NYSE,26.3,29.0,23.87,25.3,23.0,0.1589,0.1541,0.1727,0.1627,0.1822,2.59,2.19,2.25,1.1,1.23,0.279,0.279,0.2878,0.2958,0.3138,1.92,1.68,1.67,1.84,1.47,4.33,4.33,4.31,4.3,4.3,38.73,42.84,45.83,46.77,48.39,2.32,2.48,2.69,2.88,3.0,0.0909,-0.1699,0.0664,0.0,0.25,0.1783,0.0,0.0572,0.25,0.0848,1.0,0.25,0.25,0.7288,0.25,0.1822,0.4049,0.0,0.25,0.0,0.1453,False
JPM,JPMorgan Chase & Co,Banks - Diversified,USA,NYSE,10.31,11.1,10.48,12.14,16.1,0.0838,0.0643,0.0774,0.0808,0.0742,12.09,29.04,29.67,22.45,30.29,0.4979,0.3532,0.3992,0.4276,0.4027,1.93,1.93,2.09,2.28,2.7,2.94,2.93,2.88,2.8,2.7,126.05,157.54,239.25,278.68,279.07,15.36,12.09,16.23,18.22,20.02,-0.4505,0.2581,0.0685,1.2,0.25,0.9397,0.2819,0.2198,0.25,0.2321,1.0,0.25,0.25,0.2968,0.25,0.0742,0.2703,1.0,0.25,0.25,0.1401,False
